Title,brand,price,url,homosalate,homosalate percentage,propanediol,propylene glycol,mineral,titanium,zinc
thinksport Safe Sunscreen SPF 50+,thinkbaby thinksport,21.9900,,False,0,False,False,True,False,True
Consonant Skin+Care The Perfect Sunscreen SPF 30,Consonant Skin+Care ,47.9900,,False,0,False,False,True,True,True
thinkbaby Safe Sunscreen SPF 50+ Bundle,thinkbaby thinksport,81.8800,,False,0,False,False,True,False,True
Consonant Skin+Care The Perfect Sunscreen SPF 30,Consonant Skin+Care ,47.9900,,False,0,False,False,True,True,True
All Good SPF 50 Zinc Sunscreen Butter,All Good,13.5900,,False,0,False,False,True,False,True
Blue Lizard Mineral Sunscreen Kids SPF 50,Blue Lizard,14.9900,,False,0,True,False,True,True,True
All Good SPF 30 Kids Sunscreen Lotion,All Good,19.9900,,False,0,False,False,True,False,True
thinksport Kids Safe Sunscreen Stick SPF 30,thinkbaby thinksport,14.9900,,False,0,False,False,True,False,True
Baby Bum SPF 50 Mineral Sunscreen Bundle,Sun Bum,31.4800,,False,0,False,False,True,False,True
thinksport SPF 50 Sunscreen Value Bundle,thinkbaby thinksport,62.9800,,False,0,False,False,True,False,True
thinksport Kids Suncreen & Sunscreen Stick Bundle,thinkbaby thinksport,35.1300,,False,0,False,False,True,False,True
thinksport Kids Safe Sunscreen SPF 50+,thinkbaby thinksport,34.9900,,False,0,False,False,True,True,True
thinkbaby Safe SPF 50 Sunscreen Trio Bundle,thinkbaby thinksport,59.3700,,False,0,False,False,True,False,True
Badger SPF 40 Kids Clear Zinc Sunscreen,Badger,29.9900,,False,0,False,False,True,False,True
Shiseido Clear Sunscreen Stick SPF 50+,Shiseido,40.0000,,True,10.0,False,False,True,False,True
ATTITUDE Mineral Sunscreen Fragrance Free SPF 30,ATTITUDE,29.9900,,False,0,False,False,True,False,True
ATTITUDE Baby Mineral Sunscreen Unscented SPF 30,ATTITUDE,19.9800,,False,0,False,False,True,False,True
Badger Baby Clear Zinc Sunscreen SPF 40,Badger,29.9900,,False,0,False,False,True,False,True
Green Beaver Natural Mineral Sunscreen Lotion SPF 40,Green Beaver,21.9800,,False,0,False,False,True,True,True
thinkbaby Safe Sunscreen SPF 50+ Bundle,thinkbaby thinksport,41.7800,,False,0,False,False,True,False,True
Sun Bum The Getaway SPF 30 Set,Sun Bum,39.9800,,True,15.0,False,True,True,False,True
thinksport Kids Clear Zinc Sunscreen SPF 30,thinkbaby thinksport,24.9900,,False,0,False,False,True,False,True
Blue Lizard Mineral Sunscreen Sport SPF 50,Blue Lizard,14.9900,,False,0,False,False,True,False,True
Coppertone Sunscreen Lotion SPF 50,Coppertone,14.9800,,False,0,False,False,True,False,True
thinksport Kid's Safe Sunscreen SPF 50+,thinkbaby thinksport,21.9900,,False,0,False,False,True,False,True
All Good SPF 30 Sport Sunscreen Lotion,All Good,19.9900,,False,0,False,False,True,False,True
Green Beaver Natural Mineral Sunscreen Spray for Kids SPF 27,Green Beaver,21.9900,,False,0,False,False,True,False,True
thinksport Everyday Face Sunscreen SPF 30,thinkbaby thinksport,20.8900,,False,0,False,False,True,False,True
Coppertone Sport Mineral Sunscreen Lotion SPF 50,Coppertone,15.4800,,False,0,False,False,True,False,True
thinksport Kid's Safe Sunscreen SPF 50+ Bundle,thinkbaby thinksport,41.7800,,False,0,False,False,True,False,True
Coppertone Kids Sunscreen Continuous Spray SPF 50,Coppertone,14.9800,,False,0,False,False,True,False,True
Green Beaver Natural Mineral Sunscreen Lotion for Kids SPF 40,Green Beaver,21.9800,,False,0,False,False,True,False,True
Badger SPF 40 Sport Clear Zinc Sunscreen,Badger,29.9900,,False,0,False,False,True,False,True
thinkbaby Safe Sunscreen SPF 50+ Bundle,thinkbaby thinksport,79.9900,,False,0,False,False,True,False,True
Avene Emulsion Sunscreen SPF 50+,Avene,28.9900,,False,0,False,True,True,True,True
Coppertone Sport Sunscreen Lotion SPF 30,Coppertone,14.9800,,False,0,False,False,True,False,True
thinksport Kids SPF 50+ Sunscreen Bundle,thinkbaby thinksport,62.9800,,False,0,False,False,True,False,True
Neutrogena Hydroboost Sunscreen SPF30,Neutrogena,20.9900,,False,0,False,False,True,False,True
Coppertone Sport Sunscreen SPF 30 Bundle,Coppertone,25.4700,,False,0,False,False,True,False,True
thinksport Safe Sunscreen SPF 50+,thinkbaby thinksport,34.9900,,False,0,False,False,True,False,True
Coppertone Sport Sunscreen Continuous Spray SPF 50,Coppertone,14.9800,,False,0,False,False,True,False,True
All Good SPF 30 Kids Sunscreen Spray,All Good,23.9900,,False,0,False,False,True,False,True
Boo Bamboo Baby & Kids Natural Sunscreen with Bamboo Extract SPF 40,Boo Bamboo,24.9900,,False,0,False,False,True,False,True
Badger Clear Zinc Sunscreen Lavender SPF 30,Badger,29.9800,,False,0,False,False,True,False,True
Coppertone Kids Sunscreen Lotion SPF 50,Coppertone,14.9800,,False,0,False,False,True,False,True
La Roche-Posay Anthelios Mineral Tinted Ultra-Fluid Lotion SPF 50,La Roche-Posay,38.0000,,False,0,False,False,True,False,True
All Good SPF 30 Sport Sunscreen Spray,All Good,23.9900,,False,0,False,False,True,False,True
Coppertone Sport Sunscreen Continuous Spray SPF 30,Coppertone,14.9800,,False,0,False,False,True,False,True
thinkbaby Safe Sunscreen SPF 50+,thinkbaby thinksport,21.9900,,False,0,False,False,True,False,True
ATTITUDE Mineral Sunscreen Stick Tropical SPF 30,ATTITUDE,21.9900,,False,0,False,False,True,False,True
ATTITUDE Mineral Sunscreen Tropical SPF 30,ATTITUDE,29.9900,,False,0,False,False,True,False,True
thinksport Safe Sunscreen SPF 50+,thinkbaby thinksport,21.9900,,False,0,False,False,True,False,True
thinksport Clear Zinc Sunscreen Spray SPF 50,thinkbaby thinksport,29.9900,,False,0,True,False,True,True,True
Blue Lizard Kids SPF 50 Sunscreen Bundle,Blue Lizard,26.9800,,False,0,True,False,True,True,True
All Good SPF 30 Tinted Sunscreen Lotion,All Good,23.9900,,False,0,False,False,True,False,True
Hawaiian Tropic Oil Sunscreen Spray SPF 4,Hawaiian Tropic,16.4900,,False,0,False,False,True,False,True
All Good SPF 30 Kids Sunscreen Bundle,All Good,35.1800,,False,0,False,False,True,False,True
thinksport Face & Body Sunscreen Bundle,thinkbaby thinksport,41.7800,,False,0,False,False,True,False,True
thinkbaby Safe Sunscreen Stick SPF 30+,thinkbaby thinksport,14.9900,,False,0,False,False,True,False,True
babyganics All-Mineral Sunscreen Spray 50 SPF,babyganics,16.9800,,False,0,False,False,True,True,True
thinkbaby Safe Sunscreen SPF 50+,thinkbaby thinksport,34.9900,,False,0,False,False,True,False,True
Blue Lizard Baby SPF 50 Sunscreen Bundle,Blue Lizard,26.9800,,False,0,False,False,True,True,True
